"DateTime","Aggregate Feed Rates: Security Information Processors"
"2019-02-08 09:26:00",1000
"2019-02-08 09:27:00",797684
"2019-02-08 09:28:00",45057
"2019-02-08 09:29:00",154998
"2019-02-08 09:30:00",206035
"2019-02-08 09:31:00",10167674
"2019-02-08 09:32:00",3861507
"2019-02-08 09:33:00",3336769
"2019-02-08 09:34:00",3522572
"2019-02-08 09:35:00",4337249
"2019-02-08 09:36:00",4411318
"2019-02-08 09:37:00",3838902
"2019-02-08 09:38:00",3977173
"2019-02-08 09:39:00",3001820
"2019-02-08 09:40:00",4362769
"2019-02-08 09:41:00",4024088
"2019-02-08 09:42:00",4234273
"2019-02-08 09:43:00",3543485
"2019-02-08 09:44:00",3939410
"2019-02-08 09:45:00",5412277
"2019-02-08 09:46:00",5709629
"2019-02-08 09:47:00",7334448
"2019-02-08 09:48:00",3727707
"2019-02-08 09:49:00",3243020
"2019-02-08 09:50:00",3206451
"2019-02-08 09:51:00",4179651
"2019-02-08 09:52:00",4041949
"2019-02-08 09:53:00",6069816
"2019-02-08 09:54:00",4196616
"2019-02-08 09:55:00",4474125
"2019-02-08 09:56:00",3607421
"2019-02-08 09:57:00",7851818
"2019-02-08 09:58:00",5457136
"2019-02-08 09:59:00",4581041
"2019-02-08 10:00:00",6442606
"2019-02-08 10:01:00",4099505
"2019-02-08 10:02:00",5753638
"2019-02-08 10:03:00",3718027
"2019-02-08 10:04:00",4717707
"2019-02-08 10:05:00",6763023
"2019-02-08 10:06:00",4061362
"2019-02-08 10:07:00",4400936
"2019-02-08 10:08:00",4226367
"2019-02-08 10:09:00",4228948
"2019-02-08 10:10:00",3726615
"2019-02-08 10:11:00",4116858
"2019-02-08 10:12:00",4537575
"2019-02-08 10:13:00",3583411
"2019-02-08 10:14:00",7269703
"2019-02-08 10:15:00",7020461
"2019-02-08 10:16:00",3168535
"2019-02-08 10:17:00",5091496
"2019-02-08 10:18:00",6097751
"2019-02-08 10:19:00",11214584
"2019-02-08 10:20:00",5079004
"2019-02-08 10:21:00",4156011
"2019-02-08 10:22:00",6184649
"2019-02-08 10:23:00",4034280
"2019-02-08 10:24:00",3536076
"2019-02-08 10:25:00",3793083
"2019-02-08 10:26:00",4715210
"2019-02-08 10:27:00",4403883
"2019-02-08 10:28:00",3725540
"2019-02-08 10:29:00",6832708
"2019-02-08 10:30:00",3252871
"2019-02-08 10:31:00",5080732
"2019-02-08 10:32:00",8188198
"2019-02-08 10:33:00",3579519
"2019-02-08 10:34:00",4343031
"2019-02-08 10:35:00",4250079
"2019-02-08 10:36:00",6508987
"2019-02-08 10:37:00",4636397
"2019-02-08 10:38:00",4773982
"2019-02-08 10:39:00",4212941
"2019-02-08 10:40:00",5132203
"2019-02-08 10:41:00",8100491
"2019-02-08 10:42:00",3736842
"2019-02-08 10:43:00",4299706
"2019-02-08 10:44:00",3488565
"2019-02-08 10:45:00",4261420
"2019-02-08 10:46:00",6765417
